Patronyme uai, Coordonnee X, Coordonnee Y, Latitude, Longitude
MICHELET, 355316.5, 6691607.7, 47.23520254, -1.558483809
ST JOSEPH DU LOQUIDY LA SALLE, 355376.8, 6691766.2, 47.2366584, -1.557808964
LA PERVERIE SACRE COEUR, 355031.9, 6692398.8, 47.24216474, -1.562843209
ANJORRANT, 356726.8, 6691007.7, 47.23054094, -1.539417893
STE CATHERINE DE SIENNE, 357415.8, 6694755.8, 47.26458403, -1.533168963
DE BRETAGNE, 358163.2, 6691151.6, 47.23257575, -1.520573437
SAINT-FELIX - LA SALLE, 355146.4, 6691228.8, 47.23170875, -1.560439319
NELSON MANDELA, 357077.5, 6688523.4, 47.20839373, -1.532906619
GABRIEL GUISTHAU, 354417.2, 6689542.7, 47.21617542, -1.568772278
LIVET, 356258, 6690472.4, 47.22548714, -1.545196577
GASPARD MONGE - LA CHAUVINIERE, 354343.5, 6693766.2, 47.25409597, -1.572974528
SACRE COEUR LA SALLE, 351347.5, 6688708.8, 47.20707566, -1.608620778
ECOLE SILVYA TERRADE NANTES, 357318.7, 6688533.9, 47.20861265, -1.529733273
ST STANISLAS, 355426.2, 6690291.7, 47.22343174, -1.556033142
CARCOUET, 352687.7, 6691330.6, 47.23134146, -1.592959036
CLEMENCEAU, 356286.5, 6689717.3, 47.21871524, -1.544246595
FRANCOIS ARAGO, 355832.3, 6693253.8, 47.25026484, -1.552931253
LA COLINIERE, 358806.8, 6691584.1, 47.23679425, -1.512407267,
BLANCHE DE CASTILLE, 357222.9, 6691683.8, 47.23687403, -1.533384659
ALBERT CAMUS, 351230, 6688450.1, 47.20468891, -1.609970996
IFOM, 356077.5, 6687976.4, 47.20296012, -1.545680149
EXTERNAT CHAVAGNES, 354111.7, 6689850.1, 47.2187791, -1.573037214
JULES VERNE, 355008.9, 6689600.3, 47.21700089, -1.561011057
LEONARD DE VINCI, 358048.8, 6691817.4, 47.23850093, -1.522586743
DE BOUGAINVILLE, 352501.6, 6687692, 47.19854222, -1.592619048
ND DE TOUTES AIDES, 358254.4, 6690653.4, 47.22814494, -1.518993369
ENCIA, 355079.1, 6689278.3, 47.21414334, -1.55983947
LES BOURDONNIERES, 358062.5, 6685948.1, 47.18575491, -1.517969274
NANTES ACADEMIE COIFFURE, 355034.2, 6689988.5, 47.22050306, -1.560973434
TALENSAC - JEANNE BERNARD, 355199.4, 6690132.5, 47.22188312, -1.558903889
